Using  cpu
IQN(
  (head): Linear(in_features=4, out_features=512, bias=True)
  (cos_embedding): Linear(in_features=64, out_features=512, bias=True)
  (ff_1): Linear(in_features=512, out_features=512, bias=True)
  (ff_2): Linear(in_features=512, out_features=2, bias=True)
)

Episode 459	Frame 10716 	Average100 Score: 23.31
Episode 460	Frame 10734 	Average100 Score: 23.38
Episode 461	Frame 10745 	Average100 Score: 23.36
Episode 462	Frame 10753 	Average100 Score: 23.35
Episode 463	Frame 10766 	Average100 Score: 23.20
Episode 464	Frame 10777 	Average100 Score: 23.15
Episode 465	Frame 10788 	Average100 Score: 22.91
Episode 466	Frame 10799 	Average100 Score: 22.87
Episode 467	Frame 10814 	Average100 Score: 22.87
Episode 468	Frame 10840 	Average100 Score: 22.95
Episode 469	Frame 10862 	Average100 Score: 23.07
Episode 470	Frame 10873 	Average100 Score: 23.02
Episode 471	Frame 10885 	Average100 Score: 23.05
Episode 472	Frame 10895 	Average100 Score: 23.00
Episode 473	Frame 10911 	Average100 Score: 22.97
Episode 474	Frame 10924 	Average100 Score: 22.87
Episode 475	Frame 10940 	Average100 Score: 22.84
Episode 476	Frame 10956 	Average100 Score: 22.85
Episode 477	Frame 10984 	Average100 Score: 23.03
Episode 478	Frame 11021 	Average100 Score: 23.18
Episode 479	Frame 11031 	Average100 Score: 23.16
Episode 480	Frame 11060 	Average100 Score: 22.96
Episode 481	Frame 11082 	Average100 Score: 22.88
Episode 482	Frame 11096 	Average100 Score: 22.62
Episode 483	Frame 11126 	Average100 Score: 22.74
Episode 484	Frame 11149 	Average100 Score: 22.80
Episode 485	Frame 11165 	Average100 Score: 22.85
Episode 486	Frame 11181 	Average100 Score: 22.79
Episode 487	Frame 11193 	Average100 Score: 22.78
Episode 488	Frame 11209 	Average100 Score: 22.43
Episode 489	Frame 11227 	Average100 Score: 22.44
Episode 490	Frame 11249 	Average100 Score: 22.48
Episode 491	Frame 11259 	Average100 Score: 22.41
Episode 492	Frame 11284 	Average100 Score: 22.04
Episode 493	Frame 11305 	Average100 Score: 21.84
Episode 494	Frame 11329 	Average100 Score: 21.94
Episode 495	Frame 11340 	Average100 Score: 21.92
Episode 496	Frame 11358 	Average100 Score: 21.79
Episode 497	Frame 11371 	Average100 Score: 21.70
Episode 498	Frame 11397 	Average100 Score: 21.81
Episode 499	Frame 11436 	Average100 Score: 22.07
Episode 500	Frame 11450 	Average100 Score: 22.00
Episode 500	Frame 11450	Average100 Score: 22.00

Episode 501	Frame 11461 	Average100 Score: 21.90
Episode 502	Frame 11509 	Average100 Score: 22.20
